time_s,event,mode,sent,packets,seq,free,fill,received,read,high,outstanding,effective_free,controller_budget,waits
0.090452,status,watermark,0,0,0,131072,0,8387334,8387334,125624,0,131072,0.000,0
0.292492,start,watermark,0,0,0,131072,0,8387334,8387334,125624,0,131072,0.000,0
0.355641,status,watermark,0,0,0,131072,0,8387334,0,0,0,131072,0.000,0
0.356180,status,watermark,0,0,0,131072,0,0,0,0,0,131072,0.000,0
0.395161,send,watermark,5760,32,32,131072,0,0,0,0,5760,125312,0.000,0
0.411560,send,watermark,11520,64,64,131072,0,0,0,0,11520,119552,0.000,0
0.435058,send,watermark,17280,96,96,131072,0,0,0,0,17280,113792,0.000,0
0.447323,send,watermark,23040,128,128,131072,0,0,0,0,23040,108032,0.000,0
0.463878,send,watermark,28800,160,160,131072,0,0,0,0,28800,102272,0.000,0
0.475388,send,watermark,34560,192,192,131072,0,0,0,0,34560,96512,0.000,0
0.490036,send,watermark,40320,224,224,131072,0,0,0,0,40320,90752,0.000,0
0.502023,send,watermark,46080,256,256,131072,0,0,0,0,46080,84992,0.000,0
0.521206,send,watermark,51840,288,288,131072,0,0,0,0,51840,79232,0.000,0
0.538079,send,watermark,57600,320,320,131072,0,0,0,0,57600,73472,0.000,0
0.551719,send,watermark,63360,352,352,131072,0,0,0,0,63360,67712,0.000,0
0.563567,send,watermark,69120,384,384,131072,0,0,0,0,69120,61952,0.000,0
0.576519,send,watermark,74880,416,416,131072,0,0,0,0,74880,56192,0.000,0
0.588508,send,watermark,80640,448,448,131072,0,0,0,0,80640,50432,0.000,0
0.600842,send,watermark,86400,480,480,131072,0,0,0,0,86400,44672,0.000,0
0.618735,send,watermark,92160,512,512,131072,0,0,0,0,92160,38912,0.000,0
0.632138,end,watermark,96000,534,534,131072,0,0,0,0,96000,35072,0.000,0
